type;auteur;annee;lien;titre;
thèse;M. Remaki;1999;https://theses.fr/1999ENPC9923;Méthodes numériques pour les équations de Maxwell instationnaires en milieu hétérogène;
thèse;M. Dvornikov;1999;https://theses.fr/1999ENPC9941;Mécanique des systèmes à degré de liberté infini, problèmes de roulement;
thèse;B. Sportisse;1999;https://theses.fr/1999EPXX0011;Réduction de schémas cinétiques et méthodes numériques pour la résolution des problèmes de transport d'espèces réactives;
thèse;O. Jautzy;2000;https://theses.fr/2000ENPC0002;Exploitation unifiée de bases de données indépendantes et exprimées dans des modèles de données différents;
thèse;J.M. Depinay;2000;https://theses.fr/2000ENPC0005;Automatisation de méthodes de réduction de variance pour la résolution de l'équation de transport;
thèse;F. Ksas;2000;https://theses.fr/2000EVRY0011;Méthodes de Monte-Carlo et suites à discrépance faible appliquées au calcul d'options en finance;
thèse;X. Blanc;2001;https://theses.fr/2001ENPC0012;Problèmes mathématiques liés à la modélisation des solides à différentes échelles;
thèse;O. Chanrion;2001;https://theses.fr/2001ENPC0022;Simulation de l'influence de la propulsion plasmique sur la charge électrostatique d'un satellite en milieu magnétosphérique;
thèse;M. Noubir;2001;https://theses.fr/2001ENPC0023;Numerical methods and probabilistic algorithms for the pricing of interest rate exotic derivatives in the libor and swap market models;
thèse;V. Dolean;2001;https://theses.fr/2001NICE5618;Algorithmes par décomposition de domaine et accélération multigrille pour le calcul d'écoulement compressibles;
thèse;E. Temam;2001;https://theses.fr/2001PA066482;Couverture approchée d'options exotiques : pricing des options asiatiques;
thèse;V. Aguilera;2001;https://theses.fr/2002ENPC0212;Exploitation de sites Web à la manière de bases de données à objets;
thèse;G. Sylvand;2002;https://theses.fr/2002ENPC0208;La méthode multipôle rapide en électromagnétisme : performances, parallèlisation, applications;
thèse;G. Fourestey;2002;https://theses.fr/2002ENPC0224;Simulation numérique et contrôle optimal d'intéractions fluide incompressible / structure par une méthode de Lagrange-Galerkin d'ordre 2 : Applications aux ouvrages d'art;
thèse;E. Bongiovanni;2002;https://theses.fr/2002ENPC0225;Méthodes de relaxation pour les équations de Navier-Stokes compressibles;
thèse;A. Ben Haj Yedder;2002;https://theses.fr/2002ENPC0226;Optimisation numérique et contrôle optimal : Applications en chimie moléculaire;
thèse;B. Madeline;2002;https://theses.fr/2002NICE5759;Algorithmes évolutionnaires et résolution de problèmes de satifaction de contraintes en domaines finis;
thèse;N. Canouet;2003;https://theses.fr/2003ENPC0009;Méthode de Galerkin discontinu pour la résolution du système Maxwell sur des maillages localement raffinés non-conformes;
thèse;L. Nguyen;2003;https://theses.fr/2003ENPC0012;Calibration de modèles financiers par minimisation d'entropie relative et modèles avec sautsbTexte imprimé;
thèse;B. Arouna;2004;https://theses.fr/2004ENPC0031;Algorithmes stochastiques et méthodes de Monte Carlo;
thèse;A. Auger;2004;https://theses.fr/2004PA066510;Etude d'algorithmes évolutionnaires et applications en chimie moléculaire;
thèse;Y. Gati;2004;https://theses.fr/2004ENPC0012;Modélisation mathématique et simulation bumérique de fluides complexes;
thèse;M. Chane-Yook;2004;https://theses.fr/2004AIX11043;Etude d'une équation cinétique liée à l'effet Compton : modélisation et simulation 3D de la charge d'un satellite en environnement plasmique;
thèse;T. Lelièvre;2004;https://theses.fr/2004ENPC0006;Modèles multi-échelles pour les fluides viscoélastiques;
thèse;K. Barty;2004;https://theses.fr/2004ENPC0011;Contributions à la discrétisation des contraintes de mesurabilité pour les problèmes d'optimisation stochastique;
thèse;L. Gilotte;2004;https://theses.fr/2004ENPC0023;Incertitude, inertie et choix optimal : Modèles de contrôle optimal appliqués au choix de politiques de réduction des émissions de gaz à effet de serre;
thèse;L. Andrieu;2004;https://theses.fr/2004ENPC0034;Optimisation sous contrainte en probabilité;
thèse;F. Legoll;2004;https://theses.fr/2004PA066203;Méthodes moléculaires et multi-échelles pour la simulation numérique des matériaux;
thèse;A. Blanchet;2005;https://theses.fr/2005PA090063;Formules de monotonie appliquées à des problèmes à frontière libre et de modélisation en biologie;
thèse;M. Poret;2005;https://theses.fr/2005ENPC0001;Méthodes en maillages mobiles auto-adaptatifs pour des systèmes hyperboliques en une et deux dimensions d'espace;
thèse;L. El Alaoui Lakhnati;2005;https://theses.fr/2005ENPC0005;Analyse d'esrreur a priori et a posteriori pour des méthodes d'éléments finis mixtes non-conformes;
thèse;M. Bernacki;2005;https://theses.fr/2005ENPC0010;Méthodes de type Galerkin discontinu pour la propagation des ondes en aéroacoustique;
thèse;M. Barrault;2005;https://theses.fr/2005ENPC0025;Développement de méthodes rapides pour le calcul de structures électroniques;
thèse;N. Moreni;2005;https://theses.fr/2005PA066626;Méthodes de Monte Carlo et valorisation d' options;
thèse;C. Strugarek;2006;https://theses.fr/2006ENPC0002;Approches variationnelles et autres contributions en optimisation stochastique;
thèse;P. Tardif d'Hamonville;2006;https://theses.fr/2006ENPC0614;Modélisation et simulation du transport advectif et diffusif en milieu poreux monophasique et diphasique;
thèse;A. Orriols;2006;https://theses.fr/2006ENPC0621;Algorithmes d'optimisation et de contrôle d'interface libre : application à la production industrielle d'aluminium;
thèse;A. Alfonsi;2006;https://theses.fr/2006ENPCXXX6;Modélisation en risque crédit : calibration et discrétisation de modèles financiers;
thèse;J. Guyon;2006;https://theses.fr/2006ENPCXXX8;Modelisation probabiliste en finance et en biologie : Théorèmes limites et applications;
thèse;A. Gloria;2007;https://theses.fr/2007ENPC0710;Méthodes numériques multiéchelles en élasticité non linéaire;
thèse;J. Lelong;2007;https://theses.fr/2007ENPC0714;Etude asymptotique des algorithmes stochastiques et calcul du prix des otpions Parisiennes;
thèse;A. Ghorbel;2007;https://theses.fr/2007ENPC0701;Analyse numérique de la dynamique des dislocations et applications à l'homogénéisation;
thèse;G. Stoltz;2007;https://theses.fr/2007ENPC0708;Quelques méthodes mathématiques pour la simulation moleculaire et multiéchelle;
